year,viv_type,risk,age_bin,mean,sd
2031,tavi_in_tavi,low,65-69,4.2105263157894735,2.615741818902985
2031,tavi_in_tavi,low,70-74,5.1,2.5110283068684702
2031,tavi_in_tavi,low,75-79,217.0,17.393283640229456
2031,tavi_in_tavi,low,80-84,2.6470588235294117,1.4552137502179978
2031,tavi_in_tavi,low,85-99,1.75,1.164964745021435
2031,tavi_in_tavi,low,<60,2.736842105263158,1.3267380744248862
2032,tavi_in_savr,ih,60-64,2.5625,1.3149778198382918
2032,tavi_in_savr,ih,65-69,2.375,1.3601470508735443
2032,tavi_in_savr,ih,70-74,1.5714285714285714,0.7867957924694432
2032,tavi_in_savr,ih,75-79,17.25,3.2097712658299136
2032,tavi_in_savr,ih,85-99,1.0,
2032,tavi_in_savr,ih,<60,7.1,2.221900561515559
2032,tavi_in_savr,low,60-64,119.4,10.096377672475567
2032,tavi_in_savr,low,65-69,117.6,12.625788146321378
2032,tavi_in_savr,low,70-74,58.7,11.466656466743729
2032,tavi_in_savr,low,75-79,104.35,11.926419147598768
2032,tavi_in_savr,low,80-84,1.375,0.7440238091428449
2032,tavi_in_savr,low,85-99,1.0,0.0
2032,tavi_in_savr,low,<60,239.25,9.683817211692594
2032,tavi_in_tavi,ih,60-64,1.2,0.4472135954999579
2032,tavi_in_tavi,ih,65-69,1.2857142857142858,0.48795003647426666
2032,tavi_in_tavi,ih,70-74,1.4285714285714286,0.7867957924694432
2032,tavi_in_tavi,ih,75-79,190.3,12.524082065323089
2032,tavi_in_tavi,ih,80-84,1.125,0.3535533905932738
2032,tavi_in_tavi,ih,85-99,1.2857142857142858,0.48795003647426655
2032,tavi_in_tavi,ih,<60,1.5,0.6741998624632421
2032,tavi_in_tavi,low,60-64,2.526315789473684,1.5765088382115289
2032,tavi_in_tavi,low,65-69,3.15,1.6630662866176473
2032,tavi_in_tavi,low,70-74,6.05,1.9594574974238474
2032,tavi_in_tavi,low,75-79,268.45,16.057380660749455
2032,tavi_in_tavi,low,80-84,1.8666666666666667,1.0600988273786194
2032,tavi_in_tavi,low,85-99,1.0,0.0
2032,tavi_in_tavi,low,<60,3.5,1.4327007988227578
2033,tavi_in_savr,ih,60-64,1.2727272727272727,0.4670993664969138
2033,tavi_in_savr,ih,65-69,1.5555555555555556,1.0137937550497031
2033,tavi_in_savr,ih,70-74,1.25,0.5
2033,tavi_in_savr,ih,75-79,19.6,5.295479700948526
2033,tavi_in_savr,ih,<60,4.9,2.447340124341226
2033,tavi_in_savr,low,60-64,104.55,12.445565686747946
2033,tavi_in_savr,low,65-69,102.4,7.155417527999327
2033,tavi_in_savr,low,70-74,56.35,7.013333166566605
2033,tavi_in_savr,low,75-79,132.95,11.587084461407427
2033,tavi_in_savr,low,80-84,1.25,0.5
2033,tavi_in_savr,low,85-99,1.0,
2033,tavi_in_savr,low,<60,206.45,13.084643469993445
2033,tavi_in_tavi,ih,60-64,1.0,
2033,tavi_in_tavi,ih,65-69,1.0,0.0
2033,tavi_in_tavi,ih,70-74,1.0,0.0
