year,sex,age_band,population
2045,Women,50-54,1631000
2045,Women,55-59,1513000
2045,Women,60-64,1817000
2045,Women,65-69,1833000
2045,Women,70-74,2011000
2045,Women,75-79,1926000
2045,Women,80-84,1677000
2045,Women,≥85,2163000
2046,Men,0-4,608000
2046,Men,10-14,648000
2046,Men,15-19,689000
2046,Men,20-24,771000
2046,Men,25-29,974000
2046,Men,30-34,1255000
2046,Men,35-39,1268000
2046,Men,40-44,1274000
2046,Men,45-49,1633000
2046,Men,5-9,613000
2046,Men,50-54,1864000
2046,Men,55-59,1664000
2046,Men,60-64,1780000
2046,Men,65-69,1823000
2046,Men,70-74,1804000
2046,Men,75-79,1692000
2046,Men,80-84,1294000
2046,Men,≥85,1287000
2046,Women,0-4,576000
2046,Women,10-14,622000
2046,Women,15-19,664000
2046,Women,20-24,748000
2046,Women,25-29,947000
2046,Women,30-34,1223000
2046,Women,35-39,1227000
2046,Women,40-44,1208000
2046,Women,45-49,1512000
2046,Women,5-9,586000
2046,Women,50-54,1637000
2046,Women,55-59,1519000
2046,Women,60-64,1725000
2046,Women,65-69,1863000
2046,Women,70-74,1942000
2046,Women,75-79,1965000
2046,Women,80-84,1644000
2046,Women,≥85,2304000
2047,Men,0-4,605000
2047,Men,10-14,639000
2047,Men,15-19,690000
2047,Men,20-24,769000
2047,Men,25-29,909000
2047,Men,30-34,1207000
2047,Men,35-39,1273000
2047,Men,40-44,1246000
2047,Men,45-49,1553000
2047,Men,5-9,611000
2047,Men,50-54,1842000
2047,Men,55-59,1705000
2047,Men,60-64,1699000
2047,Men,65-69,1860000
2047,Men,70-74,1744000
2047,Men,75-79,1723000
2047,Men,80-84,1287000
2047,Men,≥85,1357000
2047,Women,0-4,573000
2047,Women,10-14,614000
2047,Women,15-19,665000
2047,Women,20-24,746000
2047,Women,25-29,886000
2047,Women,30-34,1178000
2047,Women,35-39,1235000
2047,Women,40-44,1193000
2047,Women,45-49,1446000
2047,Women,5-9,584000
2047,Women,50-54,1625000
2047,Women,55-59,1544000
2047,Women,60-64,1635000
2047,Women,65-69,1892000
2047,Women,70-74,1875000
2047,Women,75-79,1990000
2047,Women,80-84,1631000
2047,Women,≥85,2421000
2048,Men,0-4,600000
2048,Men,10-14,631000
2048,Men,15-19,687000
2048,Men,20-24,773000
2048,Men,25-29,857000
2048,Men,30-34,1148000
2048,Men,35-39,1266000
2048,Men,40-44,1241000
2048,Men,45-49,1472000
2048,Men,5-9,610000
2048,Men,50-54,1794000
2048,Men,55-59,1757000
