year,sex,age_band,population
2039,Men,10-14,817000
2039,Men,15-19,864000
2039,Men,20-24,846000
2039,Men,25-29,804000
2039,Men,30-34,811000
2039,Men,35-39,895000
2039,Men,40-44,970000
2039,Men,45-49,966000
2039,Men,5-9,735000
2039,Men,50-54,884000
2039,Men,55-59,796000
2039,Men,60-64,733000
2039,Men,65-69,879000
2039,Men,70-74,735000
2039,Men,75-79,444000
2039,Men,80-84,251000
2039,Men,≥85,104000
2039,Women,0-4,643000
2039,Women,10-14,772000
2039,Women,15-19,818000
2039,Women,20-24,805000
2039,Women,25-29,768000
2039,Women,30-34,779000
2039,Women,35-39,866000
2039,Women,40-44,945000
2039,Women,45-49,949000
2039,Women,5-9,694000
2039,Women,50-54,879000
2039,Women,55-59,805000
2039,Women,60-64,759000
2039,Women,65-69,947000
2039,Women,70-74,841000
2039,Women,75-79,558000
2039,Women,80-84,356000
2039,Women,≥85,199000
2040,Men,0-4,675000
2040,Men,10-14,800000
2040,Men,15-19,858000
2040,Men,20-24,850000
2040,Men,25-29,810000
2040,Men,30-34,805000
2040,Men,35-39,871000
2040,Men,40-44,958000
2040,Men,45-49,972000
2040,Men,5-9,721000
2040,Men,50-54,895000
2040,Men,55-59,812000
2040,Men,60-64,717000
2040,Men,65-69,842000
2040,Men,70-74,763000
2040,Men,75-79,464000
2040,Men,80-84,262000
2040,Men,≥85,110000
2040,Women,0-4,638000
2040,Women,10-14,756000
2040,Women,15-19,813000
2040,Women,20-24,809000
2040,Women,25-29,773000
2040,Women,30-34,772000
2040,Women,35-39,842000
2040,Women,40-44,933000
2040,Women,45-49,954000
2040,Women,5-9,680000
2040,Women,50-54,890000
2040,Women,55-59,819000
2040,Women,60-64,741000
2040,Women,65-69,907000
2040,Women,70-74,871000
2040,Women,75-79,581000
2040,Women,80-84,371000
2040,Women,≥85,207000
2041,Men,0-4,671000
2041,Men,10-14,783000
2041,Men,15-19,850000
2041,Men,20-24,853000
2041,Men,25-29,817000
2041,Men,30-34,802000
2041,Men,35-39,848000
2041,Men,40-44,943000
2041,Men,45-49,973000
2041,Men,5-9,707000
2041,Men,50-54,909000
2041,Men,55-59,824000
2041,Men,60-64,715000
2041,Men,65-69,798000
2041,Men,70-74,782000
2041,Men,75-79,489000
2041,Men,80-84,271000
2041,Men,≥85,118000
2041,Women,0-4,634000
2041,Women,10-14,740000
2041,Women,15-19,805000
2041,Women,20-24,811000
2041,Women,25-29,780000
2041,Women,30-34,769000
2041,Women,35-39,819000
2041,Women,40-44,918000
2041,Women,45-49,954000
2041,Women,5-9,668000
2041,Women,50-54,902000
2041,Women,55-59,832000
2041,Women,60-64,738000
2041,Women,65-69,858000
2041,Women,70-74,892000
2041,Women,75-79,610000
2041,Women,80-84,383000
2041,Women,≥85,216000
2042,Men,0-4,670000
2042,Men,10-14,766000
2042,Men,15-19,840000
2042,Men,20-24,854000
2042,Men,25-29,825000
2042,Men,30-34,799000
2042,Men,35-39,829000
2042,Men,40-44,926000
2042,Men,45-49,970000
2042,Men,5-9,696000
2042,Men,50-54,922000
2042,Men,55-59,834000
2042,Men,60-64,728000
2042,Men,65-69,745000
2042,Men,70-74,792000
2042,Men,75-79,523000
2042,Men,80-84,276000
2042,Men,≥85,130000
2042,Women,0-4,632000
2042,Women,10-14,723000
2042,Women,15-19,794000
2042,Women,20-24,812000
2042,Women,25-29,787000
2042,Women,30-34,766000
2042,Women,35-39,800000
2042,Women,40-44,900000
2042,Women,45-49,951000
2042,Women,5-9,657000
2042,Women,50-54,915000
2042,Women,55-59,841000
2042,Women,60-64,750000
2042,Women,65-69,799000
2042,Women,70-74,900000
2042,Women,75-79,649000
2042,Women,80-84,389000
2042,Women,≥85,234000
2043,Men,0-4,669000
2043,Men,10-14,749000
2043,Men,15-19,827000
2043,Men,20-24,853000
2043,Men,25-29,831000
2043,Men,30-34,798000
2043,Men,35-39,815000
2043,Men,40-44,907000
2043,Men,45-49,964000
2043,Men,5-9,686000
2043,Men,50-54,934000
2043,Men,55-59,844000
2043,Men,60-64,743000
2043,Men,65-69,699000
2043,Men,70-74,786000
2043,Men,75-79,554000
2043,Men,80-84,282000
2043,Men,≥85,145000
2043,Women,0-4,632000
2043,Women,10-14,708000
2043,Women,15-19,782000
2043,Women,20-24,810000
2043,Women,25-29,793000
2043,Women,30-34,764000
2043,Women,35-39,786000
2043,Women,40-44,882000
2043,Women,45-49,944000
2043,Women,5-9,648000
2043,Women,50-54,927000
2043,Women,55-59,851000
2043,Women,60-64,765000
2043,Women,65-69,749000
2043,Women,70-74,892000
2043,Women,75-79,685000
2043,Women,80-84,395000
2043,Women,≥85,256000
2044,Men,0-4,671000
2044,Men,10-14,733000
2044,Men,15-19,812000
2044,Men,20-24,849000
2044,Men,25-29,837000
2044,Men,30-34,799000
2044,Men,35-39,805000
2044,Men,40-44,886000
2044,Men,45-49,956000
2044,Men,5-9,678000
2044,Men,50-54,944000
2044,Men,55-59,855000
2044,Men,60-64,759000
2044,Men,65-69,674000
2044,Men,70-74,764000
2044,Men,75-79,579000
2044,Men,80-84,293000
2044,Men,≥85,156000
2044,Women,0-4,633000
2044,Women,10-14,692000
2044,Women,15-19,768000
2044,Women,20-24,807000
2044,Women,25-29,798000
2044,Women,30-34,766000
2044,Women,35-39,776000
2044,Women,40-44,861000
2044,Women,45-49,936000
2044,Women,5-9,640000
2044,Women,50-54,936000
2044,Women,55-59,861000
2044,Women,60-64,780000
2044,Women,65-69,720000
2044,Women,70-74,866000
2044,Women,75-79,714000
2044,Women,80-84,409000
2044,Women,≥85,273000
2045,Men,0-4,672000
2045,Men,10-14,719000
2045,Men,15-19,796000
2045,Men,20-24,844000
2045,Men,25-29,842000
2045,Men,30-34,806000
2045,Men,35-39,799000
2045,Men,40-44,862000
2045,Men,45-49,945000
2045,Men,5-9,672000
2045,Men,50-54,950000
2045,Men,55-59,866000
2045,Men,60-64,773000
