year,age,population
2032,63,65800
2032,64,65800
2032,65,62600
2032,66,62600
2032,67,62600
2032,68,62600
2032,69,62600
2032,70,56200
2032,71,56200
2032,72,56200
2032,73,56200
2032,74,56200
2032,75,44600
2032,76,44600
2032,77,44600
2032,78,44600
2032,79,44600
2032,80,30200
2032,81,30200
2032,82,30200
2032,83,30200
2032,84,30200
2032,85,14000
2032,86,14000
2032,87,14000
2032,88,14000
2032,89,14000
2032,90,6600
2032,91,6600
2032,92,6600
2032,93,6600
2032,94,6600
2032,95,2000
2032,96,2000
2032,97,2000
2032,98,2000
2032,99,2000
2032,100,400
2032,101,400
2032,102,400
2032,103,400
2032,104,400
2033,0,51000
2033,1,51000
2033,2,51000
2033,3,51000
2033,4,51000
2033,5,50600
2033,6,50600
2033,7,50600
2033,8,50600
2033,9,50600
2033,10,46600
2033,11,46600
2033,12,46600
2033,13,46600
2033,14,46600
2033,15,47000
2033,16,47000
2033,17,47000
2033,18,47000
2033,19,47000
2033,20,55200
2033,21,55200
2033,22,55200
2033,23,55200
2033,24,55200
2033,25,86400
2033,26,86400
2033,27,86400
2033,28,86400
2033,29,86400
2033,30,114000
2033,31,114000
2033,32,114000
2033,33,114000
2033,34,114000
2033,35,119400
2033,36,119400
2033,37,119400
2033,38,119400
2033,39,119400
2033,40,112600
2033,41,112600
2033,42,112600
2033,43,112600
2033,44,112600
2033,45,93000
2033,46,93000
2033,47,93000
2033,48,93000
2033,49,93000
2033,50,82600
2033,51,82600
2033,52,82600
2033,53,82600
2033,54,82600
2033,55,73400
2033,56,73400
2033,57,73400
2033,58,73400
2033,59,73400
2033,60,67400
2033,61,67400
2033,62,67400
2033,63,67400
2033,64,67400
2033,65,62400
2033,66,62400
2033,67,62400
2033,68,62400
2033,69,62400
2033,70,57400
2033,71,57400
2033,72,57400
2033,73,57400
2033,74,57400
2033,75,46400
2033,76,46400
2033,77,46400
2033,78,46400
2033,79,46400
2033,80,31400
2033,81,31400
2033,82,31400
2033,83,31400
2033,84,31400
2033,85,15800
2033,86,15800
2033,87,15800
2033,88,15800
2033,89,15800
2033,90,7000
2033,91,7000
2033,92,7000
2033,93,7000
2033,94,7000
2033,95,2000
2033,96,2000
2033,97,2000
2033,98,2000
2033,99,2000
2033,100,400
2033,101,400
2033,102,400
2033,103,400
2033,104,400
2034,0,50400
2034,1,50400
2034,2,50400
2034,3,50400
2034,4,50400
2034,5,51200
2034,6,51200
2034,7,51200
2034,8,51200
2034,9,51200
2034,10,47400
2034,11,47400
2034,12,47400
2034,13,47400
2034,14,47400
2034,15,47400
2034,16,47400
2034,17,47400
2034,18,47400
2034,19,47400
2034,20,53800
2034,21,53800
2034,22,53800
2034,23,53800
2034,24,53800
2034,25,79000
2034,26,79000
2034,27,79000
2034,28,79000
2034,29,79000
2034,30,110400
2034,31,110400
2034,32,110400
2034,33,110400
2034,34,110400
2034,35,119000
2034,36,119000
2034,37,119000
2034,38,119000
2034,39,119000
2034,40,114600
2034,41,114600
2034,42,114600
2034,43,114600
2034,44,114600
2034,45,97000
2034,46,97000
2034,47,97000
2034,48,97000
2034,49,97000
2034,50,84600
2034,51,84600
2034,52,84600
2034,53,84600
2034,54,84600
2034,55,74200
2034,56,74200
2034,57,74200
2034,58,74200
2034,59,74200
2034,60,69000
2034,61,69000
2034,62,69000
2034,63,69000
2034,64,69000
2034,65,62200
2034,66,62200
2034,67,62200
2034,68,62200
2034,69,62200
2034,70,58200
2034,71,58200
2034,72,58200
2034,73,58200
2034,74,58200
2034,75,48000
2034,76,48000
2034,77,48000
2034,78,48000
2034,79,48000
2034,80,33000
2034,81,33000
2034,82,33000
2034,83,33000
2034,84,33000
2034,85,17800
2034,86,17800
2034,87,17800
2034,88,17800
2034,89,17800
2034,90,7000
2034,91,7000
2034,92,7000
2034,93,7000
2034,94,7000
2034,95,2200
2034,96,2200
2034,97,2200
2034,98,2200
2034,99,2200
2034,100,400
2034,101,400
2034,102,400
2034,103,400
2034,104,400
2035,0,49800
2035,1,49800
2035,2,49800
2035,3,49800
2035,4,49800
2035,5,51600
2035,6,51600
2035,7,51600
2035,8,51600
2035,9,51600
2035,10,48000
2035,11,48000
2035,12,48000
2035,13,48000
2035,14,48000
2035,15,47600
2035,16,47600
2035,17,47600
2035,18,47600
2035,19,47600
2035,20,53800
2035,21,53800
2035,22,53800
2035,23,53800
2035,24,53800
2035,25,72000
2035,26,72000
2035,27,72000
2035,28,72000
2035,29,72000
2035,30,105200
2035,31,105200
2035,32,105200
2035,33,105200
2035,34,105200
2035,35,118600
2035,36,118600
2035,37,118600
2035,38,118600
2035,39,118600
2035,40,116200
2035,41,116200
2035,42,116200
2035,43,116200
2035,44,116200
2035,45,101000
2035,46,101000
2035,47,101000
2035,48,101000
2035,49,101000
2035,50,86200
2035,51,86200
2035,52,86200
2035,53,86200
2035,54,86200
2035,55,75600
2035,56,75600
2035,57,75600
2035,58,75600
2035,59,75600
2035,60,70400
2035,61,70400
2035,62,70400
2035,63,70400
2035,64,70400
2035,65,62000
2035,66,62000
2035,67,62000
2035,68,62000
2035,69,62000
2035,70,58800
2035,71,58800
2035,72,58800
2035,73,58800
2035,74,58800
2035,75,49200
2035,76,49200
2035,77,49200
2035,78,49200
2035,79,49200
2035,80,34600
2035,81,34600
2035,82,34600
2035,83,34600
2035,84,34600
2035,85,19800
2035,86,19800
2035,87,19800
2035,88,19800
2035,89,19800
2035,90,7000
2035,91,7000
2035,92,7000
2035,93,7000
2035,94,7000
2035,95,2600
2035,96,2600
2035,97,2600
2035,98,2600
2035,99,2600
2035,100,600
2035,101,600
2035,102,600
2035,103,600
2035,104,600
2036,0,48600
2036,1,48600
2036,2,48600
2036,3,48600
2036,4,48600
2036,5,51600
2036,6,51600
2036,7,51600
2036,8,51600
2036,9,51600
2036,10,49000
2036,11,49000
2036,12,49000
2036,13,49000
2036,14,49000
2036,15,47600
2036,16,47600
2036,17,47600
2036,18,47600
2036,19,47600
2036,20,54200
2036,21,54200
2036,22,54200
2036,23,54200
2036,24,54200
2036,25,66000
2036,26,66000
2036,27,66000
2036,28,66000
