year,age,sex,population
2025,22,Men,178600
2025,23,Men,178600
2025,24,Men,178600
2025,25,Men,196800
2025,26,Men,196800
2025,27,Men,196800
2025,28,Men,196800
2025,29,Men,196800
2025,30,Men,201600
2025,31,Men,201600
2025,32,Men,201600
2025,33,Men,201600
2025,34,Men,201600
2025,35,Men,188800
2025,36,Men,188800
2025,37,Men,188800
2025,38,Men,188800
2025,39,Men,188800
2025,40,Men,175400
2025,41,Men,175400
2025,42,Men,175400
2025,43,Men,175400
2025,44,Men,175400
2025,45,Men,160800
2025,46,Men,160800
2025,47,Men,160800
2025,48,Men,160800
2025,49,Men,160800
2025,50,Men,202000
2025,51,Men,202000
2025,52,Men,202000
2025,53,Men,202000
2025,54,Men,202000
2025,55,Men,204200
2025,56,Men,204200
2025,57,Men,204200
2025,58,Men,204200
2025,59,Men,204200
2025,60,Men,152200
2025,61,Men,152200
2025,62,Men,152200
2025,63,Men,152200
2025,64,Men,152200
2025,65,Men,122800
2025,66,Men,122800
2025,67,Men,122800
2025,68,Men,122800
2025,69,Men,122800
2025,70,Men,66200
2025,71,Men,66200
2025,72,Men,66200
2025,73,Men,66200
2025,74,Men,66200
2025,75,Men,55000
2025,76,Men,55000
2025,77,Men,55000
2025,78,Men,55000
2025,79,Men,55000
2025,80,Men,30600
2025,81,Men,30600
2025,82,Men,30600
2025,83,Men,30600
2025,84,Men,30600
2025,85,Men,11200
2025,86,Men,11200
2025,87,Men,11200
2025,88,Men,11200
2025,89,Men,11200
2025,90,Men,1800
2025,91,Men,1800
2025,92,Men,1800
2025,93,Men,1800
2025,94,Men,1800
2025,95,Men,200
2025,96,Men,200
2025,97,Men,200
2025,98,Men,200
2025,99,Men,200
2026,0,Men,172400
2026,1,Men,172400
2026,2,Men,172400
2026,3,Men,172400
2026,4,Men,172400
2026,5,Men,175200
2026,6,Men,175200
2026,7,Men,175200
2026,8,Men,175200
2026,9,Men,175200
2026,10,Men,169200
2026,11,Men,169200
2026,12,Men,169200
2026,13,Men,169200
2026,14,Men,169200
2026,15,Men,166000
2026,16,Men,166000
2026,17,Men,166000
2026,18,Men,166000
2026,19,Men,166000
2026,20,Men,173800
2026,21,Men,173800
2026,22,Men,173800
2026,23,Men,173800
2026,24,Men,173800
2026,25,Men,193600
2026,26,Men,193600
2026,27,Men,193600
2026,28,Men,193600
2026,29,Men,193600
2026,30,Men,201800
2026,31,Men,201800
2026,32,Men,201800
2026,33,Men,201800
2026,34,Men,201800
2026,35,Men,191400
2026,36,Men,191400
2026,37,Men,191400
2026,38,Men,191400
2026,39,Men,191400
2026,40,Men,177800
2026,41,Men,177800
2026,42,Men,177800
2026,43,Men,177800
2026,44,Men,177800
2026,45,Men,160200
2026,46,Men,160200
2026,47,Men,160200
2026,48,Men,160200
2026,49,Men,160200
2026,50,Men,191200
2026,51,Men,191200
2026,52,Men,191200
2026,53,Men,191200
2026,54,Men,191200
2026,55,Men,209200
2026,56,Men,209200
2026,57,Men,209200
2026,58,Men,209200
2026,59,Men,209200
2026,60,Men,159600
2026,61,Men,159600
2026,62,Men,159600
2026,63,Men,159600
2026,64,Men,159600
2026,65,Men,126600
2026,66,Men,126600
2026,67,Men,126600
2026,68,Men,126600
2026,69,Men,126600
2026,70,Men,71600
2026,71,Men,71600
2026,72,Men,71600
2026,73,Men,71600
2026,74,Men,71600
2026,75,Men,53200
2026,76,Men,53200
2026,77,Men,53200
2026,78,Men,53200
2026,79,Men,53200
2026,80,Men,31600
2026,81,Men,31600
2026,82,Men,31600
2026,83,Men,31600
2026,84,Men,31600
2026,85,Men,11800
2026,86,Men,11800
2026,87,Men,11800
2026,88,Men,11800
2026,89,Men,11800
2026,90,Men,2200
2026,91,Men,2200
2026,92,Men,2200
2026,93,Men,2200
2026,94,Men,2200
2026,95,Men,200
2026,96,Men,200
2026,97,Men,200
2026,98,Men,200
2026,99,Men,200
2027,0,Men,170200
2027,1,Men,170200
2027,2,Men,170200
2027,3,Men,170200
2027,4,Men,170200
2027,5,Men,175400
2027,6,Men,175400
2027,7,Men,175400
2027,8,Men,175400
2027,9,Men,175400
2027,10,Men,170600
2027,11,Men,170600
2027,12,Men,170600
2027,13,Men,170600
2027,14,Men,170600
2027,15,Men,165400
2027,16,Men,165400
2027,17,Men,165400
2027,18,Men,165400
2027,19,Men,165400
2027,20,Men,170000
2027,21,Men,170000
2027,22,Men,170000
2027,23,Men,170000
2027,24,Men,170000
2027,25,Men,190000
2027,26,Men,190000
2027,27,Men,190000
2027,28,Men,190000
2027,29,Men,190000
2027,30,Men,201000
2027,31,Men,201000
2027,32,Men,201000
2027,33,Men,201000
2027,34,Men,201000
2027,35,Men,194200
2027,36,Men,194200
2027,37,Men,194200
2027,38,Men,194200
2027,39,Men,194200
2027,40,Men,180000
2027,41,Men,180000
2027,42,Men,180000
2027,43,Men,180000
2027,44,Men,180000
2027,45,Men,162800
2027,46,Men,162800
2027,47,Men,162800
2027,48,Men,162800
2027,49,Men,162800
2027,50,Men,178000
2027,51,Men,178000
2027,52,Men,178000
2027,53,Men,178000
2027,54,Men,178000
2027,55,Men,211000
2027,56,Men,211000
2027,57,Men,211000
2027,58,Men,211000
2027,59,Men,211000
2027,60,Men,169800
2027,61,Men,169800
2027,62,Men,169800
2027,63,Men,169800
2027,64,Men,169800
2027,65,Men,128400
2027,66,Men,128400
2027,67,Men,128400
2027,68,Men,128400
2027,69,Men,128400
2027,70,Men,81800
2027,71,Men,81800
2027,72,Men,81800
2027,73,Men,81800
2027,74,Men,81800
2027,75,Men,49200
2027,76,Men,49200
2027,77,Men,49200
2027,78,Men,49200
2027,79,Men,49200
2027,80,Men,32600
2027,81,Men,32600
2027,82,Men,32600
2027,83,Men,32600
2027,84,Men,32600
2027,85,Men,12600
2027,86,Men,12600
2027,87,Men,12600
2027,88,Men,12600
2027,89,Men,12600
2027,90,Men,2600
2027,91,Men,2600
2027,92,Men,2600
2027,93,Men,2600
2027,94,Men,2600
2027,95,Men,200
2027,96,Men,200
2027,97,Men,200
2027,98,Men,200
2027,99,Men,200
2028,0,Men,167600
2028,1,Men,167600
2028,2,Men,167600
2028,3,Men,167600
2028,4,Men,167600
2028,5,Men,175000
2028,6,Men,175000
2028,7,Men,175000
2028,8,Men,175000
2028,9,Men,175000
2028,10,Men,172000
2028,11,Men,172000
2028,12,Men,172000
2028,13,Men,172000
2028,14,Men,172000
